Dmg value, samples
200000,0
201000,0
202000,0
203000,0
204000,0
205000,0
206000,0
207000,0
208000,0
209000,0
210000,0
211000,0
212000,0
213000,0
214000,0
215000,0
216000,0
217000,0
218000,0
219000,0
220000,0
221000,0
222000,0
223000,0
224000,0
225000,0
226000,0
227000,0
228000,0
229000,0
230000,0
231000,0
232000,0
233000,99
234000,0
235000,0
236000,0
237000,0
238000,0
239000,0
240000,0
241000,0
242000,0
243000,0
244000,0
245000,0
246000,0
247000,0
248000,0
249000,0
250000,0
251000,0
252000,0
253000,0
254000,0
255000,0
256000,0
257000,74
258000,0
259000,0
260000,0
261000,0
262000,0
263000,0
264000,305
265000,0
266000,0
267000,0
268000,0
269000,0
270000,0
271000,307
272000,0
273000,0
274000,0
275000,0
276000,0
277000,0
278000,0
279000,0
280000,0
281000,0
282000,0
283000,0
284000,0
285000,0
286000,0
287000,0
288000,217
289000,0
290000,0
291000,0
292000,0
293000,0
294000,333
295000,211
296000,0
297000,0
298000,0
299000,85
300000,0
301000,996
302000,0
303000,0
304000,0
305000,0
306000,83
307000,0
308000,306
309000,0
310000,0
311000,0
312000,0
313000,0
314000,0
315000,0
316000,0
317000,0
318000,0
319000,276
320000,0
321000,0
322000,0
323000,0
324000,55
325000,896
326000,0
327000,0
328000,0
329000,0
330000,246
331000,48
332000,1346
333000,0
334000,0
335000,0
336000,0
337000,450
338000,1063
339000,0
340000,0
341000,0
342000,0
343000,0
344000,228
345000,160
346000,0
347000,0
348000,0
349000,146
350000,0
351000,0
352000,0
353000,0
354000,187
355000,29
356000,785
357000,0
358000,0
359000,0
360000,245
361000,323
362000,547
363000,792
364000,0
365000,0
366000,0
367000,919
368000,189
369000,1165
370000,150
371000,0
372000,69
373000,0
374000,972
375000,0
376000,546
377000,0
378000,0
379000,0
380000,15
381000,270
382000,0
383000,28
384000,0
385000,205
386000,0
387000,378
388000,0
389000,0
390000,0
391000,156
392000,733
393000,1052
394000,0
395000,0
396000,0
397000,42
398000,1092
399000,525
400000,989
401000,0
402000,0
403000,156
404000,0
405000,1788
406000,587
407000,17
408000,0
409000,0
410000,166
411000,135
412000,796
413000,104
414000,0
415000,97
416000,0
417000,75
418000,125
419000,0
420000,0
421000,23
422000,736
423000,0
424000,497
425000,0
426000,0
427000,126
428000,429
429000,1209
430000,108
431000,465
432000,0
433000,202
434000,129
435000,1287
436000,747
437000,320
438000,82
439000,0
440000,493
441000,0
442000,1278
443000,107
444000,129
445000,0
446000,26
447000,202
448000,0
449000,449
450000,0
451000,0
452000,0
453000,328
454000,79
455000,0
456000,31
457000,0
458000,140
459000,72
460000,992
461000,251
462000,0
463000,0
464000,112
465000,390
466000,860
467000,680
468000,156
469000,0
470000,0
471000,608
472000,176
473000,1277
474000,62
475000,0
476000,0
477000,0
478000,604
479000,64
480000,506
481000,0
482000,0
483000,59
484000,0
485000,98
486000,70
487000,0
488000,68
489000,0
490000,399
491000,0
492000,50
493000,0
494000,0
495000,450
496000,95
497000,748
498000,0
499000,34
500000,0
501000,312
502000,461
503000,312
504000,414
505000,11
506000,0
507000,0
508000,713
509000,78
510000,296
511000,49
512000,0
513000,0
514000,0
515000,274
516000,0
517000,79
518000,0
519000,18
520000,0
521000,75
522000,23
523000,0
524000,0
525000,0
526000,243
527000,164
528000,66
529000,13
530000,0
531000,0
532000,49
533000,537
534000,284
535000,0
536000,0
537000,0
538000,0
539000,329
540000,247
541000,172
542000,0
543000,0
544000,0
545000,0
546000,366
547000,0
548000,35
549000,0
550000,0
551000,0
552000,0
553000,44
554000,0
555000,0
556000,40
557000,0
558000,31
559000,0
560000,0
561000,0
562000,0
563000,262
564000,0
565000,76
566000,0
567000,0
568000,0
569000,60
570000,279
571000,4
572000,35
573000,0
574000,0
575000,0
576000,178
577000,44
578000,4
579000,0
580000,0
581000,0
582000,0
583000,74
584000,0
585000,0
586000,0
587000,0
588000,0
589000,0
590000,0
591000,0
592000,0
593000,0
594000,49
595000,6
596000,0
597000,0
598000,0
599000,0
600000,0
601000,139
602000,4
603000,0
604000,0
605000,0
606000,0
607000,78
608000,0
609000,0
610000,0
611000,0
612000,0
613000,0
614000,40
615000,0
616000,0
617000,0
618000,0
619000,0
620000,0
621000,0
622000,0
623000,0
624000,0
625000,0
626000,0
627000,0
628000,0
629000,0
630000,0
631000,17
632000,0
633000,0
634000,0
635000,0
636000,0
637000,0
638000,24
639000,0
640000,0
641000,0
642000,0
643000,0
644000,6
645000,0
646000,0
647000,0
648000,0
649000,0
650000,0
651000,0
652000,0
653000,0
654000,0
655000,0
656000,0
657000,0
658000,0
659000,0
660000,0
661000,0
662000,0
663000,0
664000,0
665000,0
666000,0
667000,0
668000,0
669000,4
670000,0
671000,0
672000,0
673000,0
674000,0
675000,0
676000,0
677000,0
678000,0
679000,0
680000,0
681000,0
682000,0
683000,0
684000,0
685000,0
686000,0
687000,0
688000,0
689000,0
690000,0
691000,0
692000,0
693000,0
694000,0
695000,0
696000,0
697000,0
698000,0
699000,0
700000,0
701000,0
702000,0
703000,0
704000,0
705000,0
706000,0
707000,0
708000,0
709000,0
710000,0
711000,0
712000,0
713000,0
714000,0
715000,0
716000,0
717000,0
718000,0
719000,0
720000,0
721000,0
722000,0
723000,0
724000,0
725000,0
726000,0
727000,0
728000,0
729000,0
730000,0
731000,0
732000,0
733000,0
734000,0
735000,0
736000,0
737000,0
738000,0
739000,0
740000,0
741000,0
742000,0
743000,0
744000,0
745000,0
746000,0
747000,0
748000,0
749000,0
750000,0
751000,0
752000,0
753000,0
754000,0
755000,0
756000,0
757000,0
758000,0
759000,0
760000,0
761000,0
762000,0
763000,0
764000,0
765000,0
766000,0
767000,0
768000,0
769000,0
770000,0
771000,0
772000,0
773000,0
774000,0
775000,0
776000,0
777000,0
778000,0
779000,0
780000,0
781000,0
782000,0
783000,0
784000,0
785000,0
786000,0
787000,0
788000,0
789000,0
790000,0
791000,0
792000,0
793000,0
794000,0
795000,0
796000,0
797000,0
798000,0
799000,0
800000,0
801000,0
802000,0
803000,0
804000,0
805000,0
806000,0
807000,0
808000,0
809000,0
810000,0
811000,0
812000,0
813000,0
814000,0
815000,0
816000,0
817000,0
818000,0
819000,0
820000,0
821000,0
822000,0
823000,0
824000,0
825000,0
826000,0
827000,0
828000,0
829000,0
830000,0
831000,0
832000,0
833000,0
834000,0
835000,0
836000,0
837000,0
838000,0
839000,0
840000,0
841000,0
842000,0
843000,0
844000,0
845000,0
846000,0
847000,0
848000,0
849000,0
850000,0
851000,0
852000,0
853000,0
854000,0
855000,0
856000,0
857000,0
858000,0
859000,0
860000,0
861000,0
862000,0
863000,0
864000,0
865000,0
866000,0
867000,0
868000,0
869000,0
870000,0
871000,0
872000,0
873000,0
874000,0
875000,0
876000,0
877000,0
878000,0
879000,0
880000,0
881000,0
882000,0
883000,0
884000,0
885000,0
886000,0
887000,0
888000,0
889000,0
890000,0
891000,0
892000,0
893000,0
894000,0
895000,0
896000,0
897000,0
898000,0
899000,0
900000,0
901000,0
902000,0
903000,0
904000,0
905000,0
906000,0
907000,0
908000,0
909000,0
910000,0
911000,0
912000,0
913000,0
914000,0
915000,0
916000,0
917000,0
918000,0
919000,0
920000,0
921000,0
922000,0
923000,0
924000,0
925000,0
926000,0
927000,0
928000,0
929000,0
930000,0
931000,0
932000,0
933000,0
934000,0
935000,0
936000,0
937000,0
938000,0
939000,0
940000,0
941000,0
942000,0
943000,0
944000,0
945000,0
946000,0
947000,0
948000,0
949000,0
950000,0
951000,0
952000,0
953000,0
954000,0
955000,0
956000,0
957000,0
958000,0
959000,0
960000,0
961000,0
962000,0
963000,0
964000,0
965000,0
966000,0
967000,0
968000,0
969000,0
970000,0
971000,0
972000,0
973000,0
974000,0
975000,0
976000,0
977000,0
978000,0
979000,0
980000,0
981000,0
982000,0
983000,0
984000,0
985000,0
986000,0
987000,0
988000,0
989000,0
990000,0
991000,0
992000,0
993000,0
994000,0
995000,0
996000,0
997000,0
998000,0
999000,0

Lyney stats: 
Base Atk: 926
Atk: 3450
Dmg%: 1.810
CR: 0.432
CD: 1.864
EM: 0
CA dmg%: 0.000
Skill dmg%: 0.000
Burst dmg%: 0.000
